Region;cartodb_id;Okrug;Year;VVP;Glubina_voronki;Dolya_innovatsionno_aktivnykh_organizatsiy;Dolya_innovatsionnykh_produktov;Dokhody_regionalnogo_byudzheta;Raskhody_regionalnogo_byudzheta;Investitsii_v_osnovnoy_kapital;Saldirovanniy_finansoviy_rezultat_deyatelnosti_predpriyatiy;Saldo_regionalnogo_byudzheta;Year_etalon
Алтайский край;17;Сибирский федеральный округ;2005;538124;4;101;64;293978;283013;8465;-786;10965;2001
Алтайский край;17;Сибирский федеральный округ;2006;686107;3;91;72;358898;349648;11560;-1727;9250;2003
Алтайский край;17;Сибирский федеральный округ;2007;888605;3;89;36;470867;46335;16950;10520;424532;2004
Алтайский край;17;Сибирский федеральный округ;2008;1036283;4;72;44;599013;587601;22363;8822;11412;2004
Алтайский край;17;Сибирский федеральный округ;2009;1072824;5;76;4;655134;661805;17500;8230;-6671;2004
Алтайский край;17;Сибирский федеральный округ;2010;1249558;5;82;34;723758;673226;22516;24045;50532;2005
Алтайский край;17;Сибирский федеральный округ;2011;1376772;6;11;25;81204;808896;29146;18492;-727692;2005
Алтайский край;17;Сибирский федеральный округ;2012;1535567;6;105;26;82275;868945;34895;20903;-786670;2006
Алтайский край;17;Сибирский федеральный округ;2013;1737635;7;113;39;875566;88326;39498;18191;787240;2006
Алтайский край;17;Сибирский федеральный округ;2014;1867986;7;114;43;945497;957134;41747;16919;-11637;2007
Алтайский край;17;Сибирский федеральный округ;2015;2049331;8;12;39;955091;981568;32988;31175;-26477;2007
Алтайский край;17;Сибирский федеральный округ;2016;2116581;9;124;46;994647;942914;31749;27461;51733;2007
Алтайский край;17;Сибирский федеральный округ;2017;2177651;9;163;4;1020671;997721;37256;36072;22950;2008
Алтайский край;17;Сибирский федеральный округ;2018;2348859;10;154;28;1197632;1109745;46948;32799;87887;2008
Алтайский край;17;Сибирский федеральный округ;2019;2701723;9;129;31;1264566;1260161;48504;44962;4405;2010
Алтайский край;17;Сибирский федеральный округ;2020;2879065;10;195;26;1542731;1483255;52820;59342;59476;2010
Алтайский край;17;Сибирский федеральный округ;2021;3704343;8;171;25;1733393;1645064;54716;110405;88329;2013
Алтайский край;17;Сибирский федеральный округ;2022;4766185;6;14;22;185848;1955521;68068;88598;-1769673;2016
Алтайский край;17;Сибирский федеральный округ;2023;613240;5;67;2;280115;354155;68212;136431;-74040;2018
Амурская область;81;Дальневосточный федеральный округ;2005;885971;1;13;1;183722;180006;27368;1407;3716;2004
Амурская область;81;Дальневосточный федеральный округ;2006;1083223;2;75;13;207785;21268;32638;2034;186517;2004
Амурская область;81;Дальневосточный федеральный округ;2007;1281496;2;75;24;281293;278958;52382;3979;2335;2005
Амурская область;81;Дальневосточный федеральный округ;2008;1517394;2;65;31;356644;345118;76185;-23122;11526;2006
Амурская область;81;Дальневосточный федеральный округ;2009;1759278;2;62;18;402164;411947;115584;21049;-9783;2007
Амурская область;81;Дальневосточный федеральный округ;2010;2148272;1;59;17;454149;457623;100858;20725;-3474;2009
Амурская область;81;Дальневосточный федеральный округ;2011;2731758;1;71;36;505277;543755;143370;14472;-38478;2010
Амурская область;81;Дальневосточный федеральный округ;2012;2800239;2;78;42;519979;585677;138035;19108;-65698;2010
Амурская область;81;Дальневосточный федеральный округ;2013;258817;3;64;47;757172;785304;125297;5990;-28132;2010
Амурская область;81;Дальневосточный федеральный округ;2014;2862826;4;61;47;537783;654272;94224;7718;-116489;2010
Амурская область;81;Дальневосточный федеральный округ;2015;3433857;3;54;28;521491;564266;126537;19479;-42775;2012
Амурская область;81;Дальневосточный федеральный округ;2016;3373021;4;61;1;578037;542928;161519;19419;35109;2012
Амурская область;81;Дальневосточный федеральный округ;2017;3380557;3;81;9;580989;576505;240560;4409;4484;2014
Амурская область;81;Дальневосточный федеральный округ;2018;3783187;4;63;11;652833;647723;301209;10131;5110;2014
Амурская область;81;Дальневосточный федеральный округ;2019;4997571;2;51;11;834592;781208;430720;26508;53384;2017
Амурская область;81;Дальневосточный федеральный округ;2020;5716908;2;67;8;1051512;1030442;436941;-40461;21070;2018
Амурская область;81;Дальневосточный федеральный округ;2021;6831679;1;59;5;1186295;1237707;530377;47200;-51412;2020
Амурская область;81;Дальневосточный федеральный округ;2022;8163825;-2;68;3;1219449;1298979;610703;-638536;-79530;2024
Амурская область;81;Дальневосточный федеральный округ;2023;975573;-1;15;0;210298;414884;456148;143885;-204586;2024
Архангельская область;2;Северо-Западный федеральный округ;2005;1289653;0;84;4;224509;222308;36969;12824;2201;2005
Архангельская область;2;Северо-Западный федеральный округ;2006;1679392;0;86;3;274621;27129;68762;189;247492;2006
Архангельская область;2;Северо-Западный федеральный округ;2007;2105528;-2;99;1;391857;366112;102382;1087;25745;2009
Архангельская область;2;Северо-Западный федеральный округ;2008;2287024;0;8;1;514893;557905;114938;-21059;-43012;2008
Архангельская область;2;Северо-Западный федеральный округ;2009;2567284;-1;88;3;492644;556887;52455;16936;-64243;2010
Архангельская область;2;Северо-Западный федеральный округ;2010;3028013;-1;9;4;609693;611888;80967;31838;-2195;2011
Архангельская область;2;Северо-Западный федеральный округ;2011;3601659;-1;93;2;628073;684188;110500;-12070;-56115;2012
Архангельская область;2;Северо-Западный федеральный округ;2012;3911462;-2;82;113;657868;709061;134541;-21272;-51193;2014
Архангельская область;2;Северо-Западный федеральный округ;2013;4177764;-1;54;289;733709;791295;131388;-6004;-57586;2014
Архангельская область;2;Северо-Западный федеральный округ;2014;4569858;-1;5;14;754399;827978;132811;-31616;-73579;2015
Архангельская область;2;Северо-Западный федеральный округ;2015;5325337;-3;58;27;784143;812035;146111;14705;-27892;2018
Архангельская область;2;Северо-Западный федеральный округ;2016;5816516;-3;49;5;762779;817175;144824;55278;-54396;2019
Архангельская область;2;Северо-Западный федеральный округ;2017;6256564;-3;83;153;834092;843541;185708;46764;-9449;2020
Архангельская область;2;Северо-Западный федеральный округ;2018;7126527;-4;67;56;93151;899322;166425;31702;-806171;2022
Архангельская область;2;Северо-Западный федеральный округ;2019;7804554;-4;4;18;1078886;1039971;169388;46981;38915;2023
Архангельская область;2;Северо-Западный федеральный округ;2020;6907791;0;44;76;1133014;1284153;175641;191;-151139;2020
Архангельская область;2;Северо-Западный федеральный округ;2021;9417625;-3;41;28;134048;1383545;161189;37099;-1249497;2024
Архангельская область;2;Северо-Западный федеральный округ;2022;1283937;-2;46;13;1567104;161198;190557;86091;1405906;2024
Архангельская область;2;Северо-Западный федеральный округ;2023;1750434;-1;6;572;131224;373871;195819;0;-242646;2024
Астраханская область;33;Южный федеральный округ;2005;69814;2;9;11;117924;125293;21545;3525;-7369;2003
Астраханская область;33;Южный федеральный округ;2006;856115;3;37;2;156476;168687;29556;2606;-12211;2003
Астраханская область;33;Южный федеральный округ;2007;1006106;3;71;2;276134;278489;50095;4257;-2355;2004
Астраханская область;33;Южный федеральный округ;2008;1470994;2;69;3;345466;363694;68065;21857;-18228;2006
Астраханская область;33;Южный федеральный округ;2009;1314001;4;99;6;286017;333756;62704;-1074;-47739;2005
Астраханская область;33;Южный федеральный округ;2010;1433888;4;128;31;273776;310741;59243;-3640;-36965;2006
Астраханская область;33;Южный федеральный округ;2011;1705047;5;52;28;331777;351344;68179;-4092;-19567;2006
Астраханская область;33;Южный федеральный округ;2012;2066771;5;58;7;358293;363621;80505;420;-5328;2007
Астраханская область;33;Южный федеральный округ;2013;2698217;3;9;18;397497;424018;120785;15663;-26521;2010
Астраханская область;33;Южный федеральный округ;2014;2908222;3;124;49;394292;451387;114688;-1430;-57095;2011
Астраханская область;33;Южный федеральный округ;2015;3159969;4;121;54;38627;421527;110955;7098;-382900;2011
Астраханская область;33;Южный федеральный округ;2016;3403983;5;91;58;388635;404578;115828;-6015;-15943;2011
Астраханская область;33;Южный федеральный округ;2017;4130877;5;114;2;437893;419103;144040;58736;18790;2012
Астраханская область;33;Южный федеральный округ;2018;5447934;0;104;1;559818;487899;105016;127293;71919;2018
Астраханская область;33;Южный федеральный округ;2019;5958975;1;72;3;591079;541954;103256;127181;49125;2018
Астраханская область;33;Южный федеральный округ;2020;5263533;3;53;2;644626;662735;111404;67161;-18109;2017
Астраханская область;33;Южный федеральный округ;2021;6612449;2;77;2;762677;731482;116227;165455;31195;2019
Астраханская область;33;Южный федеральный округ;2022;8307059;-2;61;1;919275;863947;90252;218162;55328;2024
Астраханская область;33;Южный федеральный округ;2023;1043596;-1;2;0;83617;166100;139913;9890;-82483;2024
Белгородская область;26;Центральный федеральный округ;2005;959112;1;87;15;247307;257839;23167;39917;-10532;2004
Белгородская область;26;Центральный федеральный округ;2006;1182433;1;12;11;29485;310985;34428;39807;-281500;2005
Белгородская область;26;Центральный федеральный округ;2007;1563022;1;16;53;415165;423665;55072;65587;-8500;2006
Белгородская область;26;Центральный федеральный округ;2008;2086947;1;108;104;568527;590638;68469;72595;-22111;2007
Белгородская область;26;Центральный федеральный округ;2009;1992291;2;111;41;557382;608482;51082;27967;-51100;2007
Белгородская область;26;Центральный федеральный округ;2010;2600156;0;109;26;635128;651057;62865;77244;-15929;2010
Белгородская область;26;Центральный федеральный округ;2011;331010;0;122;37;813949;837803;82123;130561;-23854;2011
Белгородская область;26;Центральный федеральный округ;2012;3545706;0;92;4;780562;826533;88929;112814;-45971;2012
Белгородская область;26;Центральный федеральный округ;2013;3688748;0;96;43;773472;872485;83891;85118;-99013;2013
Белгородская область;26;Центральный федеральный округ;2014;4008208;0;115;44;775806;791995;78044;178309;-16189;2014
Белгородская область;26;Центральный федеральный округ;2015;4476197;0;127;5;810819;83670;95036;57605;727149;2015
Белгородская область;26;Центральный федеральный округ;2016;4699216;0;141;73;821216;851806;92679;216056;-30590;2016
Белгородская область;26;Центральный федеральный округ;2017;5061678;0;198;116;968004;956584;91978;138538;11420;2017
Белгородская область;26;Центральный федеральный округ;2018;5591842;0;182;149;1134961;1057966;86631;206103;76995;2018
Белгородская область;26;Центральный федеральный округ;2019;6170246;1;151;139;1232215;1241725;107921;208592;-9510;2018
Белгородская область;26;Центральный федеральный округ;2020;645436;1;18;141;1334629;1332205;108803;361270;2424;2019
Белгородская область;26;Центральный федеральный округ;2021;8817006;-3;17;116;1842308;1513007;109836;940835;329301;2024
Белгородская область;26;Центральный федеральный округ;2022;1204451;-2;151;103;1668678;1960951;126882;271373;-292273;2024
Белгородская область;26;Центральный федеральный округ;2023;1645345;-1;30;15;169583;265992;111492;1876872;-96409;2024
Брянская область;27;Центральный федеральный округ;2005;499234;4;62;113;134538;141058;6360;4391;-6520;2001
Брянская область;27;Центральный федеральный округ;2006;619871;4;8;82;175882;177862;9409;5564;-1980;2002
Брянская область;27;Центральный федеральный округ;2007;782206;4;96;96;222682;230111;16001;5718;-7429;2003
Брянская область;27;Центральный федеральный округ;2008;964926;4;73;113;265633;281924;19399;7296;-16291;2004
Брянская область;27;Центральный федеральный округ;2009;973822;5;79;123;313853;311211;21020;24508;2642;2004
Брянская область;27;Центральный федеральный округ;2010;1147776;5;88;47;327499;338039;32780;22189;-10540;2005
Брянская область;27;Центральный федеральный округ;2011;1371871;6;96;6;385252;386332;37810;56152;-1080;2005
Брянская область;27;Центральный федеральный округ;2012;1647266;6;89;102;425432;440951;36974;40355;-15519;2006
Брянская область;27;Центральный федеральный округ;2013;175865;7;78;54;449169;486785;48764;44913;-37616;2006
Брянская область;27;Центральный федеральный округ;2014;1960967;7;82;65;468992;477316;53375;30953;-8324;2007
Брянская область;27;Центральный федеральный округ;2015;221080;7;77;165;49827;528471;50641;11222;-478644;2008
Брянская область;27;Центральный федеральный округ;2016;2298446;8;68;188;581185;573383;55754;16090;7802;2008
Брянская область;27;Центральный федеральный округ;2017;2510857;7;95;73;619071;598573;45339;17432;20498;2010
Брянская область;27;Центральный федеральный округ;2018;2727425;7;82;33;663829;641625;49535;8552;22204;2011
Брянская область;27;Центральный федеральный округ;2019;3336126;8;101;59;742554;732854;53123;23704;9700;2011
Брянская область;27;Центральный федеральный округ;2020;3487571;8;109;97;85935;84746;62216;23210;1189;2012
Брянская область;27;Центральный федеральный округ;2021;3986186;7;135;79;943109;904134;71205;41829;38975;2014
Брянская область;27;Центральный федеральный округ;2022;4556088;7;121;51;1091371;1048044;75434;37759;43327;2015
Брянская область;27;Центральный федеральный округ;2023;520747;6;14;43;133198;195269;99945;21789;-62071;2017
Владимирская область;22;Центральный федеральный округ;2005;58261;3;107;4;158226;154131;11613;3222;4095;2002
Владимирская область;22;Центральный федеральный округ;2006;769674;3;164;73;215141;210231;15179;5665;4910;2003
Владимирская область;22;Центральный федеральный округ;2007;1008323;3;108;55;295379;29327;25971;11419;266052;2004
Владимирская область;22;Центральный федеральный округ;2008;1214132;3;82;31;369192;368158;31189;5751;1034;2005
Владимирская область;22;Центральный федеральный округ;2009;1313425;4;102;32;407182;403592;33374;9720;3590;2005
Владимирская область;22;Центральный федеральный округ;2010;1554942;4;95;23;431956;450061;34652;15972;-18105;2006
Владимирская область;22;Центральный федеральный округ;2011;1818426;4;108;74;478625;459008;41607;19409;19617;2007
Владимирская область;22;Центральный федеральный округ;2012;2004564;5;128;106;481738;504807;42761;23098;-23069;2007
Владимирская область;22;Центральный федеральный округ;2013;2163208;4;107;94;514258;54385;46104;22055;459873;2009
Владимирская область;22;Центральный федеральный округ;2014;2327576;6;126;83;537299;554332;52451;18951;-17033;2008
Владимирская область;22;Центральный федеральный округ;2015;2629455;5;112;96;575943;570728;51030;31117;5215;2010
Владимирская область;22;Центральный федеральный округ;2016;2826036;6;104;58;620617;603596;50752;36601;17021;2010
Владимирская область;22;Центральный федеральный округ;2017;2983759;6;153;81;650904;642778;56740;32668;8126;2011
Владимирская область;22;Центральный федеральный округ;2018;3210789;6;13;36;718193;708828;54160;39240;9365;2012
Владимирская область;22;Центральный федеральный округ;2019;3931352;5;105;65;783348;779634;66118;48060;3714;2014
Владимирская область;22;Центральный федеральный округ;2020;4096201;6;126;7;901318;880197;69178;59277;21121;2014
Владимирская область;22;Центральный федеральный округ;2021;5528112;4;117;38;1092132;984025;76797;141544;108107;2017
Владимирская область;22;Центральный федеральный округ;2022;7460577;0;99;36;1164644;1199446;134472;114179;-34802;2022
Владимирская область;22;Центральный федеральный округ;2023;1006857;-1;22;9;137293;168538;79234;111223;-31245;2024
Волгоградская область;29;Южный федеральный округ;2005;767406;2;143;45;295627;300448;16137;24126;-4821;2003
Волгоградская область;29;Южный федеральный округ;2006;959521;2;108;8;398829;405428;15075;37763;-6599;2004
Волгоградская область;29;Южный федеральный округ;2007;1269018;2;113;6;554212;538663;24845;49009;15549;2005
Волгоградская область;29;Южный федеральный округ;2008;1600242;2;95;71;695751;705183;33965;77589;-9432;2006
Волгоградская область;29;Южный федеральный округ;2009;1454536;3;84;122;691881;745128;28078;39778;-53247;2006
Волгоградская область;29;Южный федеральный округ;2010;1660288;4;84;135;755908;782405;30041;62097;-26497;2006
Волгоградская область;29;Южный федеральный округ;2011;1954637;4;79;52;787036;863198;40013;55268;-76162;2007
Волгоградская область;29;Южный федеральный округ;2012;2207551;4;71;9;844899;932818;52591;52025;-87919;2008
Волгоградская область;29;Южный федеральный округ;2013;2358141;5;81;11;816308;927354;54610;53404;-111046;2008
Волгоградская область;29;Южный федеральный округ;2014;2791014;4;63;21;955481;1041957;71315;65746;-86476;2010
Волгоградская область;29;Южный федеральный округ;2015;290186;5;63;25;1002829;107519;78455;55174;895310;2010
Волгоградская область;29;Южный федеральный округ;2016;2939477;5;49;3;1014858;1080672;72284;41475;-65814;2011
Волгоградская область;29;Южный федеральный округ;2017;3055978;6;101;36;1077435;109226;75827;4762;968209;2011
Волгоградская область;29;Южный федеральный округ;2018;3388607;5;8;22;1210783;1190903;73364;89105;19880;2013
Волгоградская область;29;Южный федеральный округ;2019;385398;6;49;27;1313172;1295796;74529;88684;17376;2013
Волгоградская область;29;Южный федеральный округ;2020;393793;6;77;22;1524678;1555645;76468;86121;-30967;2014
Волгоградская область;29;Южный федеральный округ;2021;4270688;7;88;24;1650829;1666205;75590;40613;-15376;2014
Волгоградская область;29;Южный федеральный округ;2022;4631564;6;82;33;1810199;1792499;87238;85268;17700;2016
Волгоградская область;29;Южный федеральный округ;2023;502293;6;30;1;238642;346747;82593;78868;-108105;2017
Вологодская область;55;Северо-Западный федеральный округ;2005;1563797;-1;84;45;263768;280993;48885;53307;-17225;2006
Вологодская область;55;Северо-Западный федеральный округ;2006;1639648;0;89;56;326712;321615;53671;60623;5097;2006
Вологодская область;55;Северо-Западный федеральный округ;2007;1985879;0;83;75;393985;395461;64644;74953;-1476;2007
Вологодская область;55;Северо-Западный федеральный округ;2008;2416309;0;98;62;508235;505625;64272;90811;2610;2008
Вологодская область;55;Северо-Западный федеральный округ;2009;1750345;3;76;26;401273;465839;45628;10624;-64566;2006
Вологодская область;55;Северо-Западный федеральный округ;2010;2178268;1;74;16;461745;530319;56915;-21598;-68574;2009
Вологодская область;55;Северо-Западный федеральный округ;2011;2692528;1;93;37;506933;583519;95809;28604;-76586;2010
Вологодская область;55;Северо-Западный федеральный округ;2012;2967261;1;73;47;545739;579034;126129;55249;-33295;2011
Вологодская область;55;Северо-Западный федеральный округ;2013;2897828;3;78;44;530293;580079;63125;15813;-49786;2010
Вологодская область;55;Северо-Западный федеральный округ;2014;3247903;3;56;186;56405;606657;66878;-22889;-550252;2011
Вологодская область;55;Северо-Западный федеральный округ;2015;4026521;1;55;216;580635;600136;73245;99225;-19501;2014
Вологодская область;55;Северо-Западный федеральный округ;2016;4024551;2;6;43;672189;625354;96271;154705;46835;2014
Вологодская область;55;Северо-Западный федеральный округ;2017;431059;1;86;29;721091;651952;117161;401058;69139;2016
Вологодская область;55;Северо-Западный федеральный округ;2018;4970396;1;82;2;894514;74586;127463;235139;819928;2017
Вологодская область;55;Северо-Западный федеральный округ;2019;5435709;2;116;28;1053409;959853;171198;232353;93556;2017
Вологодская область;55;Северо-Западный федеральный округ;2020;5402902;3;122;19;1147907;1148841;176144;387605;-934;2017
Вологодская область;55;Северо-Западный федеральный округ;2021;8818155;-3;89;1;1593974;1251971;180732;728937;342003;2024
Вологодская область;55;Северо-Западный федеральный округ;2022;1439224;-2;93;7;1501612;1409667;147980;983911;91945;2024
Вологодская область;55;Северо-Западный федеральный округ;2023;2348978;-1;14;1;148537;419824;191856;1799337;-271287;2024
Воронежская область;16;Центральный федеральный округ;2005;565345;3;122;73;250904;244636;12126;5102;6268;2002
Воронежская область;16;Центральный федеральный округ;2006;721211;3;142;5;304395;300418;16868;7218;3977;2003
Воронежская область;16;Центральный федеральный округ;2007;974036;3;118;115;412972;407543;28555;10847;5429;2004
Воронежская область;16;Центральный федеральный округ;2008;1261734;3;116;73;555455;547632;41389;16197;7823;2005
Воронежская область;16;Центральный федеральный округ;2009;1335097;4;86;46;594513;615079;37801;4325;-20566;2005
Воронежская область;16;Центральный федеральный округ;2010;1484326;4;86;71;712353;729486;53890;2830;-17133;2006
Воронежская область;16;Центральный федеральный округ;2011;2035755;4;92;63;773241;795227;66539;8838;-21986;2007
Воронежская область;16;Центральный федеральный округ;2012;2419474;4;9;56;876075;891766;78223;23355;-15691;2008
Воронежская область;16;Центральный федеральный округ;2013;2625783;3;10;46;914997;1002095;93139;17141;-87098;2010
Воронежская область;16;Центральный федеральный округ;2014;3080047;3;103;72;93594;1066854;103119;20042;-973260;2011
Воронежская область;16;Центральный федеральный округ;2015;3455668;3;11;124;984422;1050847;113475;44690;-66425;2012
Воронежская область;16;Центральный федеральный округ;2016;3500976;4;116;59;1056148;1045954;116084;37148;10194;2012
Воронежская область;16;Центральный федеральный округ;2017;3719245;3;186;61;114195;1084039;121500;18249;-969844;2014
Воронежская область;16;Центральный федеральный округ;2018;4048385;4;171;59;1357774;1235684;119793;32778;122090;2014
Воронежская область;16;Центральный федеральный округ;2019;4306899;4;134;73;1420424;1404676;128446;21958;15748;2015
Воронежская область;16;Центральный федеральный округ;2020;4590966;5;159;62;1681395;1596073;111673;62489;85322;2015
Воронежская область;16;Центральный федеральный округ;2021;5463288;4;126;4;1909685;1689019;124099;80280;220666;2017
Воронежская область;16;Центральный федеральный округ;2022;6501358;3;104;35;2080115;2026243;150021;130843;53872;2019
Воронежская область;16;Центральный федеральный округ;2023;773667;0;27;4;278885;343945;73389;1440244;-65060;2023
г.Москва;42;Центральный федеральный округ;2007;6403926;0;126;21;957876;929750;74182;2681016;28126;0
г.Москва;42;Центральный федеральный округ;2008;7863615;0;149;17;12914791;13177397;91754;979904;-262606;0
г.Москва;42;Центральный федеральный округ;2009;6793407;0;141;15;10106815;11563945;71114;1933519;-1457130;0
г.Москва;42;Центральный федеральный округ;2010;7307742;0;133;22;11276841;11075939;63932;2693110;200902;0
г.Москва;42;Центральный федеральный округ;2011;8593551;0;186;4;14817782;14005284;73976;2627025;812498;0
г.Москва;42;Центральный федеральный округ;2012;8950179;0;186;133;14944801;1540426;102374;2986420;13404375;0
г.Москва;42;Центральный федеральный округ;2013;9809866;0;183;153;14862919;1534246;117329;2397441;13328673;0
г.Москва;42;Центральный федеральный округ;2014;10515596;0;188;11;15529443;16072277;126874;1182043;-542834;0
г.Москва;42;Центральный федеральный округ;2015;11024964;0;197;171;16735258;15291265;125866;2371081;1443993;0
г.Москва;42;Центральный федеральный округ;2016;11523509;0;161;136;18616749;17460494;138582;4649271;1156255;0
г.Москва;42;Центральный федеральный округ;2017;12607545;0;324;33;21070147;2105168;161345;2633786;18964979;0
г.Москва;42;Центральный федеральный округ;2018;14235886;0;338;3;2386856;23253181;193404;3247670;-20866325;0
г.Москва;42;Центральный федеральный округ;2019;15653963;0;121;39;26415046;2694799;258457;5792486;23720247;0
г.Москва;42;Центральный федеральный округ;2020;15995432;-4;13;36;28807237;30166054;281657;3881946;-1358817;2024
г.Москва;42;Центральный федеральный округ;2021;19352045;-3;133;32;33494111;34587089;384993;10632892;-1092978;2024
г.Москва;42;Центральный федеральный округ;2022;2341304;-2;113;44;36715205;36165527;453150;5545188;549678;2024
г.Москва;42;Центральный федеральный округ;2023;2832622;-1;0;0;0;0;0;0;0;2024
г.Москва;42;Центральный федеральный округ;2005;3819971;0;176;74;5232778;5037602;42127;1209990;195176;0
г.Москва;42;Центральный федеральный округ;2006;5041498;0;149;29;7579367;6913298;56562;2797692;666069;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2007;2450228;0;131;23;2812662;2624461;66406;284956;188201;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2008;3129738;0;125;28;3431185;3597784;81452;270133;-166599;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2009;3209164;0;14;55;3197965;3261904;70727;258910;-63939;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2010;3492536;0;13;8;3516091;3628631;82518;347161;-112540;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2011;4246437;0;189;9;4056265;4093155;73152;495698;-36890;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2012;4569434;0;188;121;3798921;3822625;70556;474011;-23704;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2013;4904405;0;18;122;4154942;4003404;93534;499402;151538;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2014;5155569;0;189;12;4336352;4481805;101385;257087;-145453;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2015;6503397;0;172;73;4474202;4397438;92811;389065;76764;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2016;6978061;0;148;87;4858708;5051955;129176;907863;-193247;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2017;7193441;0;306;91;5221517;5651177;126462;768320;-429660;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2018;7812143;0;283;99;589468;5797007;139236;604517;-5207539;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2019;9620018;0;154;105;649006;6598121;138026;1251243;-5949115;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2020;9891221;-4;159;106;6795191;7177588;144305;1898954;-382397;2024
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2021;17544226;-3;159;111;8460227;7996948;166647;4909741;463279;2024
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2022;3111849;-2;15;8;1165311;10462083;177995;1925197;-9296772;2024
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2023;5519539;-1;0;0;0;0;0;0;0;2024
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2005;1417956;0;127;31;1427185;1362644;33375;62718;64541;0
г.Санкт-Петербург;45;Северо-Западный федеральный округ;2006;1803147;0;141;61;2180987;1861368;42327;206243;319619;0
г.Севастополь;100;Южный федеральный округ;2006;0;0;0;0;0;0;0;0;0;0
г.Севастополь;100;Южный федеральный округ;2007;0;0;0;0;0;0;0;0;0;0
г.Севастополь;100;Южный федеральный округ;2008;0;0;0;0;0;0;0;0;0;0
г.Севастополь;100;Южный федеральный округ;2009;0;0;0;0;0;0;0;0;0;0
г.Севастополь;100;Южный федеральный округ;2010;0;0;0;0;0;0;0;0;0;0
г.Севастополь;100;Южный федеральный округ;2011;0;0;0;0;0;0;0;0;0;0
г.Севастополь;100;Южный федеральный округ;2012;0;0;0;0;0;0;0;0;0;0
г.Севастополь;100;Южный федеральный округ;2013;0;0;0;0;0;0;0;0;0;0
г.Севастополь;100;Южный федеральный округ;2014;780093;0;48;5;277055;23726;8758;-2668;253329;0
г.Севастополь;100;Южный федеральный округ;2015;1193845;0;0;0;212448;183882;16088;-1381;28566;0
г.Севастополь;100;Южный федеральный округ;2016;1558876;0;33;128;218184;253342;43897;4040;-35158;0
г.Севастополь;100;Южный федеральный округ;2017;1682172;0;106;5;309911;335495;114422;620;-25584;0
г.Севастополь;100;Южный федеральный округ;2018;1801483;0;126;45;395364;357135;92165;-1173;38229;0
г.Севастополь;100;Южный федеральный округ;2019;3091149;0;6;57;384408;407526;95843;417;-23118;0
г.Севастополь;100;Южный федеральный округ;2020;2981568;9;176;59;593782;566063;55945;-1497;27719;2011
г.Севастополь;100;Южный федеральный округ;2021;326677;10;102;58;636722;660623;78574;758;-23901;2011
г.Севастополь;100;Южный федеральный округ;2022;3579253;10;78;38;72941;712384;130643;1519;-639443;2012
г.Севастополь;100;Южный федеральный округ;2023;392163;9;0;0;0;0;0;0;0;2014
г.Севастополь;100;Южный федеральный округ;2005;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2005;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2006;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2007;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2008;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2009;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2010;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2011;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2012;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2013;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2014;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2015;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2016;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2017;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2018;0;0;0;0;0;0;0;0;0;0
Донецкая Народная Республика;400;Южный федеральный округ;2019;0;0;0;0;0;0;0;0;0;0
